Page,Button States,Button Icon/Label,MIDI Ch CC,SD Button Type,Value,MIDI Out Port,MIDI In Port,Purpose,Files,CT
[Bome] - Stream Deck - Navigate to Profile / Page,-,-,Ch.11.CC.90,-,-,Bome MIDI Translator 1,Traktor Virtual Output,"Calls Traktor Layout Decks to ensure UI is visible - Ch.10.CC.31,

Calls Traktor's 'Send Monitor State’ to sync state of all buttons with Traktor - Ch.10.CC.36,",src/bome-midi-translator-pro/stream-deck-traktor.bmtp,6
A - Decks / Record - Row 1 Col 1,"Deck A,
Deck B,
Deck C,
Deck D",Arrow pointer,Ch.10.CC.23,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,"Sets/Displays Traktor's 'Deck Focus Selector', for mappings that affect 'Device Target: Focus'","Font Awesome Solid Icons pack - Arrow pointer,

src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/focus-deck.xml,
src/traktor/CT6 - Streamdeck XL.tsi",5
A - Decks / Record - Row 1 Col 2,"1/32 beat,
1/16 beat,
1/8 beat,
1/4 beat,
1/2 beat,
1 beat,
2 beats,
4 beats,
8 beats,
16 beats,
32 beats",Ruler,Ch.10.CC.30,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,Sets/Displays the size of Traktor's 'Loop Size Selector',"src/streamdeck-xl/icons/button-creator/ruler.png,

src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/loop-size.xml,
src/traktor/CT6 - Streamdeck XL.tsi",5
A - Decks / Record - Row 1 Col 3,"Loop,
BeatJump,
Loop Out,
Loop In",Various,Ch.10.CC.26,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,Sets/Displays Traktor's 'Mode Selector' (move mode),"src/streamdeck-xl/icons/button-creator/arrow.forward.to.line.png,
src/streamdeck-xl/icons/button-creator/arrow.backward.to.line.png,
src/streamdeck-xl/icons/button-creator/arrow.triangle.2.circlepath.png,
src/streamdeck-xl/icons/button-creator/arrow.turn.up.right.png

src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/loop-move-mode.xml,
src/traktor/CT6 - Streamdeck XL.tsi",5
A - Decks / Record - Row 1 Col 4,"xFine,
Fine,
1/16 beat,
1/8 beat,
1/4 beat,
1/2 beat,
1 beat,
2 beats,
4 beats,
8 beats,
16 beats,
32 beats,
Loop",Arrow Left and Right Text Vertical,Ch.10.CC.27,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,"Sets/Displays Traktor's 'Size Selector’ (sets the amount that the loop will be moved, or that the play head will beat jump by)","src/streamdeck-xl/icons/button-creator/arrow.left.and.right.text.vertical.png,

src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/loop-move-size.xml,
src/traktor/CT6 - Streamdeck XL.tsi",5
A - Decks / Record - Row 1 Col 5,Back,Go Backward,Ch.10.CC.28,Hold,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Calls Traktor's ‘Move’ (move loop back, or beatjump back by the specified 'Size Selector’)","src/streamdeck-xl/icons/button-creator/gobackward.png,

src/traktor/CT6 - Streamdeck XL.tsi",5
A - Decks / Record - Row 1 Col 6,Forward,Go Forward,Ch.10.CC.29,Hold,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Calls Traktor's ‘Move’ (move loop forward, or beatjump forward by the specified 'Size Selector’)","src/streamdeck-xl/icons/button-creator/goforward.png,

src/traktor/CT6 - Streamdeck XL.tsi",5
A - Decks / Record - Row 2 Col 1,Set,Tempo MASTER,Ch.10.CC.32,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Set as Tempo Master’ (make the focussed deck the tempo master),"src/streamdeck-xl/icons/button-creator/tempo-master.png,

src/traktor/CT6 - Streamdeck XL.tsi",5
A - Decks / Record - Row 2 Col 2,,BPM ÷2 ⨉2,Ch.10.CC.59,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Sets Traktor's 'BPM Lock On' to ‘off’, calls Traktor's 'BPM x2' (double the BPM/tempo of the track).
Shifted: Sets Traktor's 'BPM Lock On' to ‘off’, calls Traktor's 'BPM /2' (halve the BPM/tempo of the track).","src/streamdeck-xl/icons/button-creator/bpm-half-double-30-23.png,

src/traktor/CT6 - Streamdeck XL.tsi",6
A - Decks / Record - Row 2 Col 3,A to B,Right Arrow Vertical Line,Ch.10.CC.11,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Duplicate Track Deck A' (copy source of Deck A to Deck B),"src/streamdeck-xl/icons/button-creator/arrowshape.turn.up.right.circle.fill.png,

src/traktor/CT6 - Streamdeck XL.tsi",5
A - Decks / Record - Row 2 Col 4,B to A,Left Arrow Vertical Line,Ch.10.CC.12,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Duplicate Track Deck B’ (copy source of Deck B to Deck A),"src/streamdeck-xl/icons/button-creator/arrowshape.turn.up.left.circle.fill.png,

src/traktor/CT6 - Streamdeck XL.tsi",5
A - Decks / Record - Row 2 Col 6,Flux,Arrow Triangle Backward Fill,Ch.10.CC.69,Hold,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Calls Traktor's ‘Reverse Playback On’ (play Deck in reverse)
Shifted: Play Deck in Reverse with Flux enabled","src/streamdeck-xl/icons/button-creator/arrowtriangle.backward.fill.png,

src/traktor/CT6 - Streamdeck XL.tsi",6
A - Decks / Record - Row 2 Col 7,,LIVE CLEAR CLIP,Ch.10.CC.67,Push,"127 (On), 0 (Off)",IAC Drive StreamDeck2Daw,IAC Driver Daw2StreamDeck,Calls ClyphX Pro X-Control (remove all clip data - this is much faster than context switching to change Push views to create a new clip and then nudging to get it back in time),"src/clyphx-pro/XTB/X-Controls.txt,

src/streamdeck-xl/icons/button-creator/live-clear-clip.png,
src/traktor/CT6 - Streamdeck XL.tsi",6
A - Decks / Record - Row 3 Col 1,"Track Deck,
Remix Deck,
Stem Deck,
Live Input",DECK FLAVOUR,Ch.10.CC.74,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,"Change the type of a deck, most useful for toggling between Track Deck and Live Input when playing own material on Deck D.","src/streamdeck-xl/icons/button-creator/deck-flavour.png,

src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/deck-flavour.xml,
src/traktor/CT6 - Streamdeck XL.tsi",6
A - Decks / Record - Row 3 Col 2,"Off,
Hotcues,
Slices",PUSH PAD MODE,Ch.10.CC.60,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,"Toggle on output for slice and hotcue highlighting, to highlight the current playing slice on Push's 16 pad grid","src/streamdeck-xl/icons/button-creator/push-pad-mode.png,

src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/leds-to-push.xml,
src/traktor/CT6 - Deck A.tsi,
src/traktor/CT6 - Deck B.tsi",6
A - Decks / Record - Row 3 Col 3,"Off,
On",FREEZE,Ch.10.CC.61,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Sets/Displays Traktor's 'Freeze Mode On' (toggle freeze mode on and off, easier than using the S8 as Supreme Mod makes Freeze a shifted function)","src/streamdeck-xl/icons/button-creator/freeze.png,

src/traktor/CT6 - Streamdeck XL.tsi",6
A - Decks / Record - Row 3 Col 4,"8,
16",FREEZE SLICE COUNT,Ch.10.CC.64,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,"Sets/Displays Traktor's 'Freeze Slice Count Adjust' (required to achieve 16 slices, as it defaults to 8 slices after freeze is engaged)","src/streamdeck-xl/icons/button-creator/freeze-slice-count.png,

src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/freeze-slice-count.xml,
src/traktor/CT6 - Streamdeck XL.tsi",6
A - Decks / Record - Row 3 Col 5,"1/4 beat,
1/2 beat,
1 beat,
2 beats,
4 beats",FREEZE SLICE SIZE,Ch.10.CC.63,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,Sets/Displays Traktor's 'Freeze Slice Size Adjust’ (useful for isolating stabs and drum hits),"src/streamdeck-xl/icons/button-creator/freeze-slice-size.png,

src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/freeze-slice-size.xml,
src/traktor/CT6 - Streamdeck XL.tsi",6
A - Decks / Record - Row 3 Col 6,Stop,Stop Fill,Ch.10.CC.65,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Sets Traktor's 'Play/Pause (Deck Common)’ to 0 (‘Pause’) (stop playback of the focussed deck - use after exiting freeze mode),"src/streamdeck-xl/icons/button-creator/stop.fill.png,

src/traktor/CT6 - Streamdeck XL.tsi",6
A - Decks / Record - Row 3 Col 7,Down,LIVE TEMPO PHASE NUDGE,Ch.10.CC.66,Hold,"127 (On), 0 (Off)",IAC Drive StreamDeck2Daw,IAC Driver Daw2StreamDeck,Calls Live's 'Phase Nudge Up' button via M4L device 'CT6 Params’ (nudge Live's audio output into time with Traktor's by increasing Live's tempo for as long as the button is held down. The M4L device facilitates mapping the CCs to Live's API the LOM to avoid having to MIDI map these controls on a per-set basis),"src/live/MIDI Effects/Max MIDI Effect/CT6 Params.adv,
src/live/MIDI Effects/Max MIDI Effect/CT6 Params.amxd,
src/live/Instruments/Instrument Rack/CT6 Rack.adg,
src/live/CT6.als,

src/streamdeck-xl/icons/button-creator/live-tempo-phase-nudge.png",6
A - Decks / Record - Row 3 Col 7,Down · Up,LIVE TEMPO PHASE NUDGE,Ch.10.CC.68,Hold,"127 (On), 0 (Off)",Bome MIDI Translator 1,Traktor Virtual Output,"Calls Live's 'Phase Nudge Up' button via M4L device 'CT6 Params' (nudge Live's audio output into time with Traktor's by decreasing Live's tempo for as long as the button is held down. The M4L device facilitates mapping the CCs to Live's API the LOM to avoid having to MIDI map these controls on a per-set basis)

Shifted: calls Live's 'Phase Nudge Down’ ","src/bome-midi-translator-pro/stream-deck-traktor.bmtp,

src/live/MIDI Effects/Max MIDI Effect/CT6 Params.adv,
src/live/MIDI Effects/Max MIDI Effect/CT6 Params.amxd,
src/live/Instruments/Instrument Rack/CT6 Rack.adg,
src/live/CT6.als,

src/streamdeck-xl/icons/button-creator/live-tempo-phase-nudge-down-up-24.png",6
A - Decks / Record - Row 4 Col 2,Delete,Cross in Square,Ch.10.CC.15,Push,"127 (On), 0 (Off)",Bome MIDI Translator 1,Traktor Virtual Output,Calls Traktor's 'Delete (Loop Recorder)’ (delete the existing loop recording),"src/bome-midi-translator-pro/stream-deck-traktor.bmtp,

src/streamdeck-xl/icons/button-creator/clear.fill.png,

src/traktor/CT6 - Streamdeck XL.tsi",5
A - Decks / Record - Row 4 Col 3,"4 beats,
8 beats,
16 beats,
32 beats",Ruler,Ch.10.CC.22,Cycle,Various (XML Cycle file),Bome MIDI Translator 1,Traktor Virtual Output,Calls Traktor's ‘Size' (set the size for a new loop recording - note: only works if Delete is used to remove the old recording first),"src/bome-midi-translator-pro/stream-deck-traktor.bmtp,

src/streamdeck-xl/icons/button-creator/ruler.png,

src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/loop-recorder-size.xml,
src/traktor/CT6 - Streamdeck XL.tsi",5
A - Decks / Record - Row 4 Col 4,"Record,
Recording",Circle fill in circle,Ch.10.CC.14,Push,"127 (On), 0 (Off)",Bome MIDI Translator 1,Traktor Virtual Output,Calls Traktor's ‘Record' (start recording a loop of the specified size),"src/bome-midi-translator-pro/stream-deck-traktor.bmtp,

src/streamdeck-xl/icons/button-creator/record.circle.png,

src/traktor/CT6 - Streamdeck XL.tsi",5
A - Decks / Record - Row 4 Col 5,"Record,
Recording",Tape Loop in circle,Ch.10.CC.13,Push,"127 (On), 0 (Off)",Bome MIDI Translator 1,Traktor Virtual Output,Calls Traktor's ‘Record/Stop' (toggle between recording all audio output and not recording),"src/bome-midi-translator-pro/stream-deck-traktor.bmtp,

src/streamdeck-xl/icons/button-creator/record.circle.fill.png,

src/traktor/CT6 - Streamdeck XL.tsi",5
B1 - Remix - Perform - Row 2 Col 6,Flux,Arrow Triangle Backward Fill,Ch.10.CC.69,Hold,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Calls Traktor's ‘Reverse Playback On’ (play Deck in reverse)
Shifted: Play Deck in Reverse with Flux enabled","src/streamdeck-xl/icons/button-creator/arrowtriangle.backward.fill.png,

src/traktor/CT6 - Streamdeck XL.tsi",6
B1 - Remix - Perform - Row 3 Col 2,,"Mute Stop,

Muted Stop",Ch.11.CC.80,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,"Mute slot (FX tails preserved),

Shifted: Stop playing sample in slot","src/streamdeck-xl/icons/button-creator/circle.grid.1x4-fff-mute-stop.png,

src/streamdeck-xl/icons/button-creator/circle.grid.1x4-333-muted-stop.png,",6
B1 - Remix - Perform - Row 3 Col 3,,"Mute Stop,

Muted Stop",Ch.11.CC.81,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,As above,As above,6
B1 - Remix - Perform - Row 3 Col 4,,"Mute Stop,

Muted Stop",Ch.11.CC.82,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,As above,As above,6
B1 - Remix - Perform - Row 3 Col 5,,"Mute Stop,

Muted Stop",Ch.11.CC.83,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,As above,As above,6
B1 - Remix - Perform - Row 4 Col 2,Delete,Cross in Square,Ch.10.CC.15,Push,"127 (On), 0 (Off)",Bome MIDI Translator 1,Traktor Virtual Output,Calls Traktor's 'Delete (Loop Recorder)’ (delete the existing loop recording),"src/bome-midi-translator-pro/stream-deck-traktor.bmtp,

src/streamdeck-xl/icons/button-creator/clear.fill.png,

src/traktor/CT6 - Streamdeck XL.tsi",5
B1 - Remix - Perform - Row 4 Col 3,"4 beats,
8 beats,
16 beats,
32 beats",Ruler,Ch.10.CC.22,Cycle,Various (XML Cycle file),Bome MIDI Translator 1,Traktor Virtual Output,Calls Traktor's ‘Size' (set the size for a new loop recording - note: only works if Delete is used to remove the old recording first),"src/bome-midi-translator-pro/stream-deck-traktor.bmtp,

src/streamdeck-xl/icons/button-creator/ruler.png,

src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/loop-recorder-size.xml,
src/traktor/CT6 - Streamdeck XL.tsi",5
B1 - Remix - Perform - Row 4 Col 4,"Record,
Recording",Nested circles,Ch.10.CC.14,Push,"127 (On), 0 (Off)",Bome MIDI Translator 1,Traktor Virtual Output,Calls Traktor's ‘Record' (start recording a loop of the specified size),"src/bome-midi-translator-pro/stream-deck-traktor.bmtp,

src/streamdeck-xl/icons/button-creator/record.circle.png,

src/traktor/CT6 - Streamdeck XL.tsi",5
B1 - Remix - Perform/Capture - Row 1 Col 1,,BPM ÷2 ⨉2,Ch.10.CC.86,Push,"127 (On), 0 (Off)",Bome MIDI Translator 1,Traktor Virtual Output,"Previous action: select cell in [ Mouse ] mode.

Doubles BPM of selected cell.

Shifted: Halves BPM of selected cell.","src/bome-midi-translator-pro/stream-deck-traktor.bmtp,

src/streamdeck-xl/icons/button-creator/cursorarrow.square.fill-bpm-half-double.png",5
B1 - Remix - Perform/Capture - Row 1 Col 2,Slot 1 1-1,"X in circle (empty),

Square in circle (stopped),

Pause/Play in circle (launched and waiting),

Triangle in circle (playing)
",Ch.11.CC.01,Cycle,Various (XML Cycle file),Bome MIDI Translator 1,Traktor Virtual Output,"Capture sample from Deck or Loop Recorder (+ List · Captr To Cell),

Delete sample (+ Delete Cell),

Load sample from browser ( + Shift + List · Captr To Cell),

Reverse sample (+ Reverse Cell),

Select slot (+ Shift),

Trigger / Retrigger sample","src/bome-midi-translator-pro/stream-deck-traktor.bmtp,

src/streamdeck-xl/icons/button-creator/multiply.circle.fill-333-30.png,

src/streamdeck-xl/icons/button-creator/play.circle.fill-green-30.png,

src/streamdeck-xl/icons/button-creator/playpause.circle.fill-orange-30.png,

src/streamdeck-xl/icons/button-creator/stop.circle.fill-red-30.png",6
B1 - Remix - Perform/Capture - Row 1 Col 3,Slot 2 2-1,As above,Ch.11.CC.02,Cycle,Various (XML Cycle file),Bome MIDI Translator 1,Traktor Virtual Output,As above,As above,6
B1 - Remix - Perform/Capture - Row 1 Col 4,Slot 3 3-1,As above,Ch.11.CC.03,Cycle,Various (XML Cycle file),Bome MIDI Translator 1,Traktor Virtual Output,As above,As above,6
B1 - Remix - Perform/Capture - Row 1 Col 5,Slot 4 4-1,As above,Ch.11.CC.04,Cycle,Various (XML Cycle file),Bome MIDI Translator 1,Traktor Virtual Output,As above,As above,6
B1 - Remix - Perform/Capture - Row 1 Col 6,"Button,

Mouse,

Slot",GRID MODE,Ch.11.CC.30,Cycle,Various (XML Cycle file),Bome MIDI Translator 1,Traktor Virtual Output,"Changes values of Bome m3 (0, 1, 2) and Traktor modifier 3 (0, 1, 2)

[ Button ]: Action button + Cell button affects cell sample,

[ Mouse ]: Cell button clicks cell UI, or Action button clicks sample action UI,

[ Slot ]: Cell button selects slot","src/bome-midi-translator-pro/stream-deck-traktor.bmtp,

src/streamdeck-xl/icons/button-creator/button.horizontal.top.press.fill-23.png,

src/streamdeck-xl/icons/button-creator/cursorarrow.square.fill-30.png,",6
B1 - Remix - Perform/Capture - Row 1 Col 7,1-2 3-4,ROWS,Ch.11.CC.50,Cycle,Various (XML Cycle file),Bome MIDI Translator 1,Traktor Virtual Output,Changes the subset of Remix Deck cell rows displayed on the Stream Deck,"src/bome-midi-translator-pro/stream-deck-traktor.bmtp,

src/streamdeck-xl/icons/button-creator/rows-26.png,",6
B1 - Remix - Perform/Capture - Row 2 Col 1,,Offset BWD · FWD,Ch.11.CC.70,Push,"127 (On), 0 (Off)",Bome MIDI Translator 1,Traktor Virtual Output,"Previous action: select cell in [ Mouse ] mode.

Moves start offset forward.

Shifted: Moves start offset backwards.","src/bome-midi-translator-pro/stream-deck-traktor.bmtp,

src/streamdeck-xl/icons/button-creator/cursorarrow.square.fill-offset-bwd-fwd.png,",6
B1 - Remix - Perform/Capture - Row 2 Col 2,1-2,"X in circle (empty),

Square in circle (stopped),

Pause/Play in circle (launched and waiting),

Triangle in circle (playing)
",Ch.11.CC.05,Cycle,Various (XML Cycle file),Bome MIDI Translator 1,Traktor Virtual Output,"Capture sample from Deck or Loop Recorder (+ List · Captr To Cell),

Delete sample (+ Delete Cell),

Load sample from browser ( + Shift + List · Captr To Cell),

Reverse sample (+ Reverse Cell),

Select slot (+ Shift),

Trigger / Retrigger sample","src/bome-midi-translator-pro/stream-deck-traktor.bmtp,

src/streamdeck-xl/icons/button-creator/multiply.circle.fill-333-30.png,

src/streamdeck-xl/icons/button-creator/play.circle.fill-green-30.png,

src/streamdeck-xl/icons/button-creator/playpause.circle.fill-orange-30.png,

src/streamdeck-xl/icons/button-creator/stop.circle.fill-red-30.png",6
B1 - Remix - Perform/Capture - Row 2 Col 3,2-2,As above,Ch.11.CC.06,Cycle,Various (XML Cycle file),Bome MIDI Translator 1,Traktor Virtual Output,As above,As above,6
B1 - Remix - Perform/Capture - Row 2 Col 4,3-2,As above,Ch.11.CC.07,Cycle,Various (XML Cycle file),Bome MIDI Translator 1,Traktor Virtual Output,As above,As above,6
B1 - Remix - Perform/Capture - Row 2 Col 5,4-2,As above,Ch.11.CC.08,Cycle,Various (XML Cycle file),Bome MIDI Translator 1,Traktor Virtual Output,As above,As above,6
B1 - Remix - Perform/Capture - Row 3 Col 1,1/4 beat etc,LAUNCH QUANTISE,Ch.10.CC.70,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,Remix deck launch quantise value,"src/streamdeck-xl/icons/button-creator/launch-quantise-22.png,

src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/remix-deck-quantise.xml,
src/traktor/CT6 - Streamdeck XL.tsi",6
B1 - Remix - Perform/Capture - Row 4 Col 5,"Off,
On",SLOT PUNCH (LEGATO),Ch.10.CC.80,Push,"127 (On), 0 (Off)",Bome MIDI Translator 1,Traktor Virtual Output,Slot Punch Off/On. Slot is determined by slot modifier value.,"src/streamdeck-xl/icons/button-creator/slot-punch-legato.png,

src/traktor/CT6 - Streamdeck XL.tsi",6
